land,filnavn
Afghanistan,flag-of-Afghanistan.png
Albania,flag-of-Albania.png
Algeria,flag-of-Algeria.png
Andorra,flag-of-Andorra.png
Angola,flag-of-Angola.png
Antigua & Barbuda,flag-of-Antigua.png
Argentina,flag-of-Argentina.png
Armenia,flag-of-Armenia.png
Australia,flag-of-Australia.png
Austria,flag-of-Austria.png
Azerbaijan,flag-of-Azerbaijan.png
Bahamas,flag-of-Bahamas.png
Bahrain,flag-of-Bahrain.png
Bangladesh,flag-of-Bangladesh.png
Barbados,flag-of-Barbados.png
Belarus,flag-of-Belarus.png
Belgium,flag-of-Belgium.png
Belize,flag-of-Belize.png
Benin,flag-of-Benin.png
Bhutan,flag-of-Bhutan.png
Bolivia,flag-of-Bolivia.png
Bosnia and Herzegovina,flag-of-Bosnia-Herzegovina.png
Botswana,flag-of-Botswana.png
Brazil,flag-of-Brazil.png
Brunei,flag-of-Brunei.png
Bulgaria,flag-of-Bulgaria.png
Burkina Faso,flag-of-Burkina-Faso.png
Burundi,flag-of-Burundi.png
Cabo Verde,flag-of-Cabo-Verde.png
Cambodia,flag-of-Cambodia.png
Cameroon,flag-of-Cameroon.png
Canada,flag-of-Canada.png
Central African Republic,flag-of-Central-African-Republic.png
Chad,flag-of-Chad.png
Chile,flag-of-Chile.png
China,flag-of-China.png
Colombia,flag-of-Colombia.png
Comoros,flag-of-Comoros.png
the Democratic Republic of Congo,flag-of-Congo-Democratic-Republic-of.png
the Republic of Congo,flag-of-Congo.png
Costa Rica,flag-of-Costa-Rica.png
Cote d'Ivoire,flag-of-Cote-d-Ivoire.png
Croatia,flag-of-Croatia.png
Cuba,flag-of-Cuba.png
Cyprus,flag-of-Cyprus.png
Czechia,flag-of-Czech-Republic.png
Denmark,flag-of-Denmark.png
Djibouti,flag-of-Djibouti.png
Dominica,flag-of-Dominica.png
Dominican Republic,flag-of-Dominican-Republic.png
Ecuador,flag-of-Ecuador.png
Egypt,flag-of-Egypt.png
El Salvador,flag-of-El-Salvador.png
Equatorial Guinea,flag-of-Equatorial-Guinea.png
Eritrea,flag-of-Eritrea.png
Estonia,flag-of-Estonia.png
Eswatini,flag-of-Eswatini.png
Ethiopia,flag-of-Ethiopia.png
Fiji,flag-of-Fiji.png
Finland,flag-of-Finland.png
France,flag-of-France.png
Gabon,flag-of-Gabon.png
Gambia,flag-of-Gambia.png
Georgia,flag-of-Georgia.png
Germany,flag-of-Germany.png
Ghana,flag-of-Ghana.png
Greece,flag-of-Greece.png
Grenada,flag-of-Grenada.png
Guatemala,flag-of-Guatemala.png
Guinea,flag-of-Guinea.png
Guinea-Bissau,flag-of-Guinea-Bissau.png
Guyana,flag-of-Guyana.png
Haiti,flag-of-Haiti.png
Honduras,flag-of-Honduras.png
Hungary,flag-of-Hungary.png
Iceland,flag-of-Iceland.png
India,flag-of-India.png
Indonesia,flag-of-Indonesia.png
Iran,flag-of-Iran.png
Iraq,flag-of-Iraq.png
Ireland,flag-of-Ireland.png
Israel,flag-of-Israel.png
Italy,flag-of-Italy.png
Jamaica,flag-of-Jamaica.png
Japan,flag-of-Japan.png
Jordan,flag-of-Jordan.png
Kazakhstan,flag-of-Kazakhstan.png
